,duracion_s,duracion_s,duracion_s,duracion_s,duracion_s,freq_muestreo_hz,freq_muestreo_hz,freq_muestreo_hz,num_muestras,num_muestras,num_muestras
,mean,std,min,max,count,mean,min,max,mean,min,max
tipo,,,,,,,,,,,
HY,57.2,35.31,9.99,265.0,213,208.45,200.0,500.0,11775.59,2000,53000
LP,82.27,63.51,8.99,600.0,577,255.63,200.0,500.0,20182.15,1800,120000
TC,78.53,56.24,8.99,670.0,2198,222.11,200.0,500.0,17709.55,1800,134000
TR,46.19,33.78,8.99,216.0,471,206.37,200.0,500.0,9566.88,1800,101500
VT,19.6,12.32,5.0,189.0,2686,201.56,200.0,500.0,3949.44,1000,37800
